brand,sku,requirement,required_value,status,source
Electrolux,EACS-09HP/N3,Инверторный тип кондиционера,Нет,could_not_confirm,
Electrolux,EACS-09HP/N3,Класс энергоэффективности (в режиме нагрева),не ниже А,could_not_confirm,
Electrolux,EACS-09HP/N3,Класс энергоэффективности (в режиме охлаждения),не ниже А,could_not_confirm,
Electrolux,EACS-09HP/N3,Наличие фильтров тонкой очистки воздуха,да,could_not_confirm,
Electrolux,EACS-09HP/N3,Дополнительные функции,"Автоматическая очистка, автоматический выбор режима, ночной режим, режим турбо, самодиагностика.",could_not_confirm,
Electrolux,EACS-09HP/N3,Тип внутреннего блока,Настенный,could_not_confirm,
Electrolux,EACS-09HP/N3,Вид кондиционера,Сплит-система,could_not_confirm,
Electrolux,EACS-09HP/N3,Вид блока кондиционера,Наружный,could_not_confirm,
Electrolux,EACS-09HP/N3,Наличие антибактериального фильтра,да,could_not_confirm,
Electrolux,EACS-09HP/N3,Мощность в режиме охлаждения,2.6 кВт,could_not_confirm,
Electrolux,EACS-09HP/N3,Мощность в режиме нагрева,2.6 кВт,could_not_confirm,
Electrolux,EACS-09HP/N3,Площадь помещения,25 м^2,could_not_confirm,
Electrolux,EACS-09HP/N3,Цвет,белый,could_not_confirm,
LG,DC07RH,Инверторный тип кондиционера,Нет,could_not_confirm,
LG,DC07RH,Класс энергоэффективности (в режиме нагрева),не ниже А,could_not_confirm,
LG,DC07RH,Класс энергоэффективности (в режиме охлаждения),не ниже А,could_not_confirm,
LG,DC07RH,Наличие фильтров тонкой очистки воздуха,да,could_not_confirm,
LG,DC07RH,Дополнительные функции,"Автоматическая очистка, автоматический выбор режима, ночной режим, режим турбо, самодиагностика.",could_not_confirm,
LG,DC07RH,Тип внутреннего блока,Настенный,could_not_confirm,
LG,DC07RH,Вид кондиционера,Сплит-система,could_not_confirm,
LG,DC07RH,Вид блока кондиционера,Наружный,could_not_confirm,
LG,DC07RH,Наличие антибактериального фильтра,да,could_not_confirm,
LG,DC07RH,Мощность в режиме охлаждения,2.6 кВт,could_not_confirm,
LG,DC07RH,Мощность в режиме нагрева,2.6 кВт,could_not_confirm,
LG,DC07RH,Площадь помещения,25 м^2,could_not_confirm,
LG,DC07RH,Цвет,белый,could_not_confirm,
Hisense,AS-09UW4RYRKB05,Инверторный тип кондиционера,Нет,could_not_confirm,
Hisense,AS-09UW4RYRKB05,Класс энергоэффективности (в режиме нагрева),не ниже А,could_not_confirm,
Hisense,AS-09UW4RYRKB05,Класс энергоэффективности (в режиме охлаждения),не ниже А,could_not_confirm,
Hisense,AS-09UW4RYRKB05,Наличие фильтров тонкой очистки воздуха,да,could_not_confirm,
Hisense,AS-09UW4RYRKB05,Дополнительные функции,"Автоматическая очистка, автоматический выбор режима, ночной режим, режим турбо, самодиагностика.",could_not_confirm,
Hisense,AS-09UW4RYRKB05,Тип внутреннего блока,Настенный,could_not_confirm,
Hisense,AS-09UW4RYRKB05,Вид кондиционера,Сплит-система,could_not_confirm,
Hisense,AS-09UW4RYRKB05,Вид блока кондиционера,Наружный,could_not_confirm,
Hisense,AS-09UW4RYRKB05,Наличие антибактериального фильтра,да,could_not_confirm,
Hisense,AS-09UW4RYRKB05,Мощность в режиме охлаждения,2.6 кВт,could_not_confirm,
Hisense,AS-09UW4RYRKB05,Мощность в режиме нагрева,2.6 кВт,could_not_confirm,
Hisense,AS-09UW4RYRKB05,Площадь помещения,25 м^2,could_not_confirm,
Hisense,AS-09UW4RYRKB05,Цвет,белый,could_not_confirm,
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Инверторный тип кондиционера,Нет,could_not_confirm,
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Класс энергоэффективности (в режиме нагрева),не ниже А,could_not_confirm,
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Класс энергоэффективности (в режиме охлаждения),не ниже А,could_not_confirm,
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Наличие фильтров тонкой очистки воздуха,да,could_not_confirm,
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Дополнительные функции,"Автоматическая очистка, автоматический выбор режима, ночной режим, режим турбо, самодиагностика.",could_not_confirm,
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Тип внутреннего блока,Настенный,could_not_confirm,
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Вид кондиционера,Сплит-система,could_not_confirm,
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Вид блока кондиционера,Наружный,could_not_confirm,
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Наличие антибактериального фильтра,да,could_not_confirm,
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Мощность в режиме охлаждения,2.6 кВт,could_not_confirm,
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Мощность в режиме нагрева,2.6 кВт,could_not_confirm,
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Площадь помещения,25 м^2,could_not_confirm,
Energolux,SAS09BN3-AI/SAU09BN3-AI-LE,Цвет,белый,could_not_confirm,
Hisense,AS-13UW4RXVQF00,Инверторный тип кондиционера,Нет,could_not_confirm,
Hisense,AS-13UW4RXVQF00,Класс энергоэффективности (в режиме нагрева),не ниже А,could_not_confirm,
Hisense,AS-13UW4RXVQF00,Класс энергоэффективности (в режиме охлаждения),не ниже А,could_not_confirm,
Hisense,AS-13UW4RXVQF00,Наличие фильтров тонкой очистки воздуха,да,could_not_confirm,
