brand,sku,requirement,status,found_value,source,evidence
Electrolux,EACS-09HP/N3,Инверторный тип кондиционера,corresponds,Нет,https://domkbt.ru/product/%D1%81%D0%BF%D0%BB%D0%B8%D1%82-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0-electrolux-eacs-09hp-n3/,Инверторный компрессор | Нет
Electrolux,EACS-09HP/N3,Класс энергоэффективности (в режиме нагрева),could_not_confirm,,,
Electrolux,EACS-09HP/N3,Класс энергоэффективности (в режиме охлаждения),could_not_confirm,,,
Electrolux,EACS-09HP/N3,Наличие фильтров тонкой очистки воздуха,could_not_confirm,,,
Electrolux,EACS-09HP/N3,Дополнительные функции,could_not_confirm,,,
Electrolux,EACS-09HP/N3,Тип внутреннего блока,could_not_confirm,,,
Electrolux,EACS-09HP/N3,Вид кондиционера,corresponds,Сплит-система,https://domkbt.ru/product/%D1%81%D0%BF%D0%BB%D0%B8%D1%82-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0-electrolux-eacs-09hp-n3/,Вид товара | Сплит-система
Electrolux,EACS-09HP/N3,Вид блока кондиционера,could_not_confirm,,,
Electrolux,EACS-09HP/N3,Наличие антибактериального фильтра,could_not_confirm,,,
Electrolux,EACS-09HP/N3,Мощность в режиме охлаждения,could_not_confirm,,,
Electrolux,EACS-09HP/N3,Мощность в режиме нагрева,could_not_confirm,,,
Electrolux,EACS-09HP/N3,Площадь помещения,corresponds,25 м2,https://domkbt.ru/product/%D1%81%D0%BF%D0%BB%D0%B8%D1%82-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0-electrolux-eacs-09hp-n3/,Обслуживаемая площадь | 25 м2
Electrolux,EACS-09HP/N3,Цвет,corresponds,Белый,https://domkbt.ru/product/%D1%81%D0%BF%D0%BB%D0%B8%D1%82-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0-electrolux-eacs-09hp-n3/,Цвет корпуса | Белый
LG,DC07RH,Инверторный тип кондиционера,does_not_comply,inverter,https://techno-more.ru/product/split-sistema-lg-dc07rh-belyy,Тип компрессора | inverter
LG,DC07RH,Класс энергоэффективности (в режиме нагрева),could_not_confirm,,,
LG,DC07RH,Класс энергоэффективности (в режиме охлаждения),could_not_confirm,,,
