sku,parameter,status,value,source_type,source_url,evidence,normalized_value
EACS-09HP/N3,Инверторный тип кондиционера,corresponds,Нет,PROFESSIONAL_STORE,https://domkbt.ru/product/%D1%81%D0%BF%D0%BB%D0%B8%D1%82-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0-electrolux-eacs-09hp-n3/,"""Инверторный компрессор | Нет""",false
EACS-09HP/N3,Класс энергоэффективности (в режиме нагрева),could_not_confirm,,,,null,null
EACS-09HP/N3,Класс энергоэффективности (в режиме охлаждения),could_not_confirm,,,,null,null
EACS-09HP/N3,Наличие фильтров тонкой очистки воздуха,could_not_confirm,,,,null,null
EACS-09HP/N3,Дополнительные функции,corresponds,Автоматическая очистка; автоматический выбор режима; ночной режим; режим турбо; самодиагностика.,['PROFESSIONAL_STORE'],https://domkbt.ru/product/%D1%81%D0%BF%D0%BB%D0%B8%D1%82-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0-electrolux-eacs-09hp-n3/,"[""Самоочистка внутреннего блока | Да"", ""Автоматический режим | Да"", ""Режим «Турбо» и ночной режим работы, а также удобный таймер и LED-дисплей."", ""Режим «Турбо» и ночной режим работы, а также удобный таймер и LED-дисплей."", ""Самодиагностика | да""]","{""Автоматическая очистка"": true, ""автоматический выбор режима"": true, ""ночной режим"": true, ""режим турбо"": true, ""самодиагностика."": true}"
EACS-09HP/N3,Тип внутреннего блока,could_not_confirm,,,,null,null
EACS-09HP/N3,Вид кондиционера,corresponds,Сплит-система,PROFESSIONAL_STORE,https://domkbt.ru/product/%D1%81%D0%BF%D0%BB%D0%B8%D1%82-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0-electrolux-eacs-09hp-n3/,"""Вид товара | Сплит-система""","""сплит-система"""
EACS-09HP/N3,Вид блока кондиционера,could_not_confirm,,,,null,null
EACS-09HP/N3,Наличие антибактериального фильтра,could_not_confirm,,,,null,null
EACS-09HP/N3,Мощность в режиме охлаждения,could_not_confirm,,,,null,null
EACS-09HP/N3,Мощность в режиме нагрева,could_not_confirm,,,,null,null
