Номер закупки;Позиция;Модель;Режим;Цена заказчика;Цель -15%;Минимальная публичная цена;Поставщик;Итог
100032348126100110;1;;;60000.0;;;;ТРЕБУЕТСЯ РУЧНАЯ ПРОВЕРКА
100032348126100110;2;;;100000.0;;;;ТРЕБУЕТСЯ РУЧНАЯ ПРОВЕРКА
100032348126100109;1;;MODEL_DISCOVERY_REQUIRED;200000.0;;;;ТРЕБУЕТСЯ ПОДБОР МОДЕЛИ
100110512126100716;1;;;0.0;;;;ТРЕБУЕТСЯ РУЧНАЯ ПРОВЕРКА
100110512126100716;2;;;0.0;;;;ТРЕБУЕТСЯ РУЧНАЯ ПРОВЕРКА
100110512126100716;3;;;0.0;;;;ТРЕБУЕТСЯ РУЧНАЯ ПРОВЕРКА
100110512126100716;4;;;0.0;;;;ТРЕБУЕТСЯ РУЧНАЯ ПРОВЕРКА
100110512126100716;5;;;0.0;;;;ТРЕБУЕТСЯ РУЧНАЯ ПРОВЕРКА
200909143126100577;1;;;2945.0;;;;ТРЕБУЕТСЯ РУЧНАЯ ПРОВЕРКА
200909143126100577;2;;;2945.0;;;;ТРЕБУЕТСЯ РУЧНАЯ ПРОВЕРКА
200909143126100577;3;;;1040.05;;;;ТРЕБУЕТСЯ РУЧНАЯ ПРОВЕРКА
200909143126100577;4;;;3022.5;;;;ТРЕБУЕТСЯ РУЧНАЯ ПРОВЕРКА
200909143126100577;5;;;1937.5;;;;ТРЕБУЕТСЯ РУЧНАЯ ПРОВЕРКА
200909143126100577;6;;;13950.0;;;;ТРЕБУЕТСЯ РУЧНАЯ ПРОВЕРКА
200909143126100577;7;;;4185.0;;;;ТРЕБУЕТСЯ РУЧНАЯ ПРОВЕРКА
200909143126100577;8;;;4262.5;;;;ТРЕБУЕТСЯ РУЧНАЯ ПРОВЕРКА
100099468126100096;1;;;73500.0;;;;ТРЕБУЕТСЯ РУЧНАЯ ПРОВЕРКА
